PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,WORD
67acbb030811018b016dcaf7,image-to-prompt,0,5,1,Generate a photo of a man and woman working side by side at an office. The photo is of their backside and quite dull,"[0,101]","[102,116]",15,1756270639828,1756270639910,Backspace,8, monthly, physical-keyboard,0,1
67acbb030811018b016dcaf7,image-to-prompt,0,5,1,Generate a photo of a man and woman working side by side at an office. The photo is of their backside and quite dull,"[0,101]","[102,116]",16,1756270639969,1756270640070,Backspace,8, monthly, physical-keyboard,0,1
67acbb030811018b016dcaf7,image-to-prompt,0,5,1,Generate a photo of a man and woman working side by side at an office. The photo is of their backside and quite dull,"[0,101]","[102,116]",17,1756270640250,1756270640411,Shift,16, monthly, physical-keyboard,0,1
67acbb030811018b016dcaf7,image-to-prompt,0,5,1,Generate a photo of a man and woman working side by side at an office. The photo is of their backside and quite dull,"[0,101]","[102,116]",18,1756270640333,1756270640424,G,71, monthly, physical-keyboard,0,1
67acbb030811018b016dcaf7,image-to-prompt,0,5,1,Generate a photo of a man and woman working side by side at an office. The photo is of their backside and quite dull,"[0,101]","[102,116]",19,1756270640506,1756270640620,e,69, monthly, physical-keyboard,1,1
67acbb030811018b016dcaf7,image-to-prompt,0,5,1,Generate a photo of a man and woman working side by side at an office. The photo is of their backside and quite dull,"[0,101]","[102,116]",20,1756270640688,1756270640823,n,78, monthly, physical-keyboard,2,1
67acbb030811018b016dcaf7,image-to-prompt,0,5,1,Generate a photo of a man and woman working side by side at an office. The photo is of their backside and quite dull,"[0,101]","[102,116]",21,1756270640789,1756270640910,e,69, monthly, physical-keyboard,3,1
67acbb030811018b016dcaf7,image-to-prompt,0,5,1,Generate a photo of a man and woman working side by side at an office. The photo is of their backside and quite dull,"[0,101]","[102,116]",22,1756270640861,1756270640996,r,82, monthly, physical-keyboard,4,1
67acbb030811018b016dcaf7,image-to-prompt,0,5,1,Generate a photo of a man and woman working side by side at an office. The photo is of their backside and quite dull,"[0,101]","[102,116]",23,1756270641172,1756270641265,a,65, monthly, physical-keyboard,5,1
67acbb030811018b016dcaf7,image-to-prompt,0,5,1,Generate a photo of a man and woman working side by side at an office. The photo is of their backside and quite dull,"[0,101]","[102,116]",24,1756270641473,1756270641611,e,69, monthly, physical-keyboard,6,1
67acbb030811018b016dcaf7,image-to-prompt,0,5,1,Generate a photo of a man and woman working side by side at an office. The photo is of their backside and quite dull,"[0,101]","[102,116]",25,1756270641847,1756270641983,Backspace,8, monthly, physical-keyboard,6,1
67acbb030811018b016dcaf7,image-to-prompt,0,5,1,Generate a photo of a man and woman working side by side at an office. The photo is of their backside and quite dull,"[0,101]","[102,116]",26,1756270641910,1756270642098,t,84, monthly, physical-keyboard,6,1
67acbb030811018b016dcaf7,image-to-prompt,0,5,1,Generate a photo of a man and woman working side by side at an office. The photo is of their backside and quite dull,"[0,101]","[102,116]",27,1756270641993,1756270642138,e,69, monthly, physical-keyboard,7,1
67acbb030811018b016dcaf7,image-to-prompt,0,5,1,Generate a photo of a man and woman working side by side at an office. The photo is of their backside and quite dull,"[0,101]","[102,116]",28,1756270642214,1756270642323, ,32, monthly, physical-keyboard,8,0
67acbb030811018b016dcaf7,image-to-prompt,0,5,1,Generate a photo of a man and woman working side by side at an office. The photo is of their backside and quite dull,"[0,101]","[102,116]",29,1756270642370,1756270642524,a,65, monthly, physical-keyboard,9,1
67acbb030811018b016dcaf7,image-to-prompt,0,5,1,Generate a photo of a man and woman working side by side at an office. The photo is of their backside and quite dull,"[0,101]","[102,116]",30,1756270642475,1756270642592, ,32, monthly, physical-keyboard,10,0
67acbb030811018b016dcaf7,image-to-prompt,0,5,1,Generate a photo of a man and woman working side by side at an office. The photo is of their backside and quite dull,"[0,101]","[102,116]",31,1756270642765,1756270642939,p,80, monthly, physical-keyboard,11,1
67acbb030811018b016dcaf7,image-to-prompt,0,5,1,Generate a photo of a man and woman working side by side at an office. The photo is of their backside and quite dull,"[0,101]","[102,116]",32,1756270642958,1756270643100,h,72, monthly, physical-keyboard,12,1
67acbb030811018b016dcaf7,image-to-prompt,0,5,1,Generate a photo of a man and woman working side by side at an office. The photo is of their backside and quite dull,"[0,101]","[102,116]",33,1756270643065,1756270643191,o,79, monthly, physical-keyboard,13,1
67acbb030811018b016dcaf7,image-to-prompt,0,5,1,Generate a photo of a man and woman working side by side at an office. The photo is of their backside and quite dull,"[0,101]","[102,116]",34,1756270643265,1756270643375,t,84, monthly, physical-keyboard,14,1
67acbb030811018b016dcaf7,image-to-prompt,0,5,1,Generate a photo of a man and woman working side by side at an office. The photo is of their backside and quite dull,"[0,101]","[102,116]",35,1756270643371,1756270643496,o,79, monthly, physical-keyboard,15,1
67acbb030811018b016dcaf7,image-to-prompt,0,5,1,Generate a photo of a man and woman working side by side at an office. The photo is of their backside and quite dull,"[0,101]","[102,116]",36,1756270644298,1756270644449, ,32, monthly, physical-keyboard,16,0
67acbb030811018b016dcaf7,image-to-prompt,0,5,1,Generate a photo of a man and woman working side by side at an office. The photo is of their backside and quite dull,"[0,101]","[102,116]",37,1756270644740,1756270644928,o,79, monthly, physical-keyboard,17,1
67acbb030811018b016dcaf7,image-to-prompt,0,5,1,Generate a photo of a man and woman working side by side at an office. The photo is of their backside and quite dull,"[0,101]","[102,116]",38,1756270644971,1756270645112,f,70, monthly, physical-keyboard,18,1
67acbb030811018b016dcaf7,image-to-prompt,0,5,1,Generate a photo of a man and woman working side by side at an office. The photo is of their backside and quite dull,"[0,101]","[102,116]",39,1756270645143,1756270645298, ,32, monthly, physical-keyboard,19,0
67acbb030811018b016dcaf7,image-to-prompt,0,5,1,Generate a photo of a man and woman working side by side at an office. The photo is of their backside and quite dull,"[0,101]","[102,116]",40,1756270645513,1756270645675,a,65, monthly, physical-keyboard,20,1
67acbb030811018b016dcaf7,image-to-prompt,0,5,1,Generate a photo of a man and woman working side by side at an office. The photo is of their backside and quite dull,"[0,101]","[102,116]",41,1756270645591,1756270645756, ,32, monthly, physical-keyboard,21,0
67acbb030811018b016dcaf7,image-to-prompt,0,5,1,Generate a photo of a man and woman working side by side at an office. The photo is of their backside and quite dull,"[0,101]","[102,116]",42,1756270645671,1756270645840,m,77, monthly, physical-keyboard,22,1
67acbb030811018b016dcaf7,image-to-prompt,0,5,1,Generate a photo of a man and woman working side by side at an office. The photo is of their backside and quite dull,"[0,101]","[102,116]",43,1756270645816,1756270645939,a,65, monthly, physical-keyboard,23,1
67acbb030811018b016dcaf7,image-to-prompt,0,5,1,Generate a photo of a man and woman working side by side at an office. The photo is of their backside and quite dull,"[0,101]","[102,116]",44,1756270645901,1756270646029,n,78, monthly, physical-keyboard,24,1
