PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR,WORD,D1U1,D1D2,U1U2,D1U2
616f9519fb3906da76b8e173,text-to-prompt,0,6,2,"create an email, redact the subject of it at the beginning, it has to be to remember that all documents for the q3 are due by friday at noon. also add that the documents have to be uploaded to the shared folder. do it in a formal way","[0,59];[60,140]","[142,210];[212,233]",0,1756257320904,1756257321023,c,67, weekly, physical-keyboard,0,1,0,1,119.0,,,405.0
616f9519fb3906da76b8e173,text-to-prompt,0,6,2,"create an email, redact the subject of it at the beginning, it has to be to remember that all documents for the q3 are due by friday at noon. also add that the documents have to be uploaded to the shared folder. do it in a formal way","[0,59];[60,140]","[142,210];[212,233]",1,1756257321128,1756257321309,r,82, weekly, physical-keyboard,1,1,0,1,181.0,224.0,286.0,199.0
616f9519fb3906da76b8e173,text-to-prompt,0,6,2,"create an email, redact the subject of it at the beginning, it has to be to remember that all documents for the q3 are due by friday at noon. also add that the documents have to be uploaded to the shared folder. do it in a formal way","[0,59];[60,140]","[142,210];[212,233]",2,1756257321206,1756257321327,e,69, weekly, physical-keyboard,2,1,0,1,121.0,78.0,18.0,259.0
616f9519fb3906da76b8e173,text-to-prompt,0,6,2,"create an email, redact the subject of it at the beginning, it has to be to remember that all documents for the q3 are due by friday at noon. also add that the documents have to be uploaded to the shared folder. do it in a formal way","[0,59];[60,140]","[142,210];[212,233]",3,1756257321329,1756257321465,a,65, weekly, physical-keyboard,3,1,0,1,136.0,123.0,138.0,337.0
616f9519fb3906da76b8e173,text-to-prompt,0,6,2,"create an email, redact the subject of it at the beginning, it has to be to remember that all documents for the q3 are due by friday at noon. also add that the documents have to be uploaded to the shared folder. do it in a formal way","[0,59];[60,140]","[142,210];[212,233]",4,1756257321483,1756257321666,t,84, weekly, physical-keyboard,4,1,0,1,183.0,154.0,201.0,228.0
616f9519fb3906da76b8e173,text-to-prompt,0,6,2,"create an email, redact the subject of it at the beginning, it has to be to remember that all documents for the q3 are due by friday at noon. also add that the documents have to be uploaded to the shared folder. do it in a formal way","[0,59];[60,140]","[142,210];[212,233]",5,1756257321558,1756257321711,e,69, weekly, physical-keyboard,5,1,0,1,153.0,75.0,45.0,229.0
616f9519fb3906da76b8e173,text-to-prompt,0,6,2,"create an email, redact the subject of it at the beginning, it has to be to remember that all documents for the q3 are due by friday at noon. also add that the documents have to be uploaded to the shared folder. do it in a formal way","[0,59];[60,140]","[142,210];[212,233]",6,1756257321715,1756257321787, ,32, weekly, physical-keyboard,6,1,0,0,72.0,157.0,76.0,456.0
616f9519fb3906da76b8e173,text-to-prompt,0,6,2,"create an email, redact the subject of it at the beginning, it has to be to remember that all documents for the q3 are due by friday at noon. also add that the documents have to be uploaded to the shared folder. do it in a formal way","[0,59];[60,140]","[142,210];[212,233]",7,1756257322074,1756257322171,a,65, weekly, physical-keyboard,7,1,0,1,97.0,359.0,384.0,53.0
616f9519fb3906da76b8e173,text-to-prompt,0,6,2,"create an email, redact the subject of it at the beginning, it has to be to remember that all documents for the q3 are due by friday at noon. also add that the documents have to be uploaded to the shared folder. do it in a formal way","[0,59];[60,140]","[142,210];[212,233]",8,1756257322100,1756257322127,s,83, weekly, physical-keyboard,8,1,0,1,27.0,26.0,,156.0
616f9519fb3906da76b8e173,text-to-prompt,0,6,2,"create an email, redact the subject of it at the beginning, it has to be to remember that all documents for the q3 are due by friday at noon. also add that the documents have to be uploaded to the shared folder. do it in a formal way","[0,59];[60,140]","[142,210];[212,233]",9,1756257322192,1756257322256, ,32, weekly, physical-keyboard,8,1,0,1,64.0,92.0,129.0,1979.0
616f9519fb3906da76b8e173,text-to-prompt,0,6,2,"create an email, redact the subject of it at the beginning, it has to be to remember that all documents for the q3 are due by friday at noon. also add that the documents have to be uploaded to the shared folder. do it in a formal way","[0,59];[60,140]","[142,210];[212,233]",10,1756257324087,1756257324171,Backspace,8, weekly, physical-keyboard,8,1,0,1,84.0,1895.0,1915.0,258.0
616f9519fb3906da76b8e173,text-to-prompt,0,6,2,"create an email, redact the subject of it at the beginning, it has to be to remember that all documents for the q3 are due by friday at noon. also add that the documents have to be uploaded to the shared folder. do it in a formal way","[0,59];[60,140]","[142,210];[212,233]",11,1756257324262,1756257324345,Backspace,8, weekly, physical-keyboard,8,1,0,1,83.0,175.0,174.0,759.0
616f9519fb3906da76b8e173,text-to-prompt,0,6,2,"create an email, redact the subject of it at the beginning, it has to be to remember that all documents for the q3 are due by friday at noon. also add that the documents have to be uploaded to the shared folder. do it in a formal way","[0,59];[60,140]","[142,210];[212,233]",12,1756257324917,1756257325021,n,78, weekly, physical-keyboard,8,1,0,1,104.0,655.0,676.0,303.0
616f9519fb3906da76b8e173,text-to-prompt,0,6,2,"create an email, redact the subject of it at the beginning, it has to be to remember that all documents for the q3 are due by friday at noon. also add that the documents have to be uploaded to the shared folder. do it in a formal way","[0,59];[60,140]","[142,210];[212,233]",13,1756257325078,1756257325220, ,32, weekly, physical-keyboard,9,1,0,0,142.0,161.0,199.0,247.0
616f9519fb3906da76b8e173,text-to-prompt,0,6,2,"create an email, redact the subject of it at the beginning, it has to be to remember that all documents for the q3 are due by friday at noon. also add that the documents have to be uploaded to the shared folder. do it in a formal way","[0,59];[60,140]","[142,210];[212,233]",14,1756257325220,1756257325325,e,69, weekly, physical-keyboard,10,1,0,1,105.0,142.0,105.0,211.0
616f9519fb3906da76b8e173,text-to-prompt,0,6,2,"create an email, redact the subject of it at the beginning, it has to be to remember that all documents for the q3 are due by friday at noon. also add that the documents have to be uploaded to the shared folder. do it in a formal way","[0,59];[60,140]","[142,210];[212,233]",15,1756257325345,1756257325431,m,77, weekly, physical-keyboard,11,1,0,1,86.0,125.0,106.0,262.0
616f9519fb3906da76b8e173,text-to-prompt,0,6,2,"create an email, redact the subject of it at the beginning, it has to be to remember that all documents for the q3 are due by friday at noon. also add that the documents have to be uploaded to the shared folder. do it in a formal way","[0,59];[60,140]","[142,210];[212,233]",16,1756257325500,1756257325607,a,65, weekly, physical-keyboard,12,1,0,1,107.0,155.0,176.0,206.0
616f9519fb3906da76b8e173,text-to-prompt,0,6,2,"create an email, redact the subject of it at the beginning, it has to be to remember that all documents for the q3 are due by friday at noon. also add that the documents have to be uploaded to the shared folder. do it in a formal way","[0,59];[60,140]","[142,210];[212,233]",17,1756257325634,1756257325706,i,73, weekly, physical-keyboard,13,1,0,1,72.0,134.0,99.0,274.0
616f9519fb3906da76b8e173,text-to-prompt,0,6,2,"create an email, redact the subject of it at the beginning, it has to be to remember that all documents for the q3 are due by friday at noon. also add that the documents have to be uploaded to the shared folder. do it in a formal way","[0,59];[60,140]","[142,210];[212,233]",18,1756257325828,1756257325908,l,76, weekly, physical-keyboard,14,1,0,1,80.0,194.0,202.0,2268.0
616f9519fb3906da76b8e173,text-to-prompt,0,6,2,"create an email, redact the subject of it at the beginning, it has to be to remember that all documents for the q3 are due by friday at noon. also add that the documents have to be uploaded to the shared folder. do it in a formal way","[0,59];[60,140]","[142,210];[212,233]",19,1756257327882,1756257328096, ,32, weekly, physical-keyboard,15,1,0,1,214.0,2054.0,2188.0,1589.0
616f9519fb3906da76b8e173,text-to-prompt,0,6,2,"create an email, redact the subject of it at the beginning, it has to be to remember that all documents for the q3 are due by friday at noon. also add that the documents have to be uploaded to the shared folder. do it in a formal way","[0,59];[60,140]","[142,210];[212,233]",20,1756257329365,1756257329471,Backspace,8, weekly, physical-keyboard,15,1,0,1,106.0,1483.0,1375.0,871.0
616f9519fb3906da76b8e173,text-to-prompt,0,6,2,"create an email, redact the subject of it at the beginning, it has to be to remember that all documents for the q3 are due by friday at noon. also add that the documents have to be uploaded to the shared folder. do it in a formal way","[0,59];[60,140]","[142,210];[212,233]",21,1756257330109,1756257330236,",",188, weekly, physical-keyboard,15,1,0,1,127.0,744.0,765.0,341.0
